ANW 	KANW 	Ainsworth Municipal Airport 	Ainsworth; Nebraska; United States
ANX 	ENAN 	Andøya Airport; Andenes 	Andenes; Norway
ANY 	KANY 	Anthony Municipal Airport 	Anthony; Kansas; United States
ANZ 		Angus Downs Airport 	Angus Downs; Northern Territory; Australia
-AO-
AOA 		Aroa Airport 	Aroa; Papua New Guinea
AOB 		Annanberg Airport 	Annanberg; Papua New Guinea
AOC 	EDAC 	Leipzig-Altenburg Airport 	Altenburg; Thuringia; Germany
AOD 		Abou-Deia Airport 	Abou-Deia; Chad
AOE 	LTBY 	Anadolu Airport 	Eskişehir; Turkey
AOG 	ZYAS 	Anshan Teng'ao Airport 	Anshan; Liaoning; China
AOH 	KAOH 	Lima Allen County Airport 	Lima; Ohio; United States
AOI 	LIPY 	Falconara Airport 	Ancona; Italy
AOJ 	RJSA 	Aomori Airport 	Aomori; Japan
AOK 	LGKP 	Karpathos Airport 	Karpathos; Greece
AOL 	SARL 	Paso de los Libres Airport 	Paso de los Libres; Corrientes; Argentina
AON 		Arona Airport 	Arona; Papua New Guinea
AOO 	KAOO 	Altoona-Blair County Airport 	Altoona; Pennsylvania; United States
AOR 	WMKA 	Sultan Abdul Halim Airport 	Alor Star; Kedah; Malaysia
AOS 		Amook Bay Seaplane Base (FAA: AK81) 	Amook Bay; Alaska; United States
AOT 	LIMW 	Corrado Gex Airport 	Aosta; Italy
AOU 	VLAP 	Attopeu Airport 	Attopeu; Laos
-AP-
APA 	KAPA 	Centennial Airport 	Arapahoe County; Colorado; United States
APB 	SLAP 	Apolo Airport 	Apolo; La Paz; Bolivia
APC 	KAPC 	Napa County Airport 	Napa; California; United States
APE 	SPAO 	San Juan Aposento Airport 	San Juan Aposento; Peru
APF 	KAPF 	Naples Municipal Airport 	Naples; Florida; United States
APG 	KAPG 	Phillips Army Airfield 	Aberdeen Proving Ground; Maryland; United States
APH 	KAPH 	A.P. Hill Army Airfield 	Fort A.P. Hill; Virginia; United States
API 	SKAP 	Gomez Nino-Apiay Airport 	Apiay; Colombia
APK 	NTGD 	Apataki Airport 	Apataki; French Polynesia
APL 	FQNP 	Nampula Airport 	Nampula; Mozambique
APN 	KAPN 	Alpena County Regional Airport 	Alpena; Michigan; United States
APO 	SKLC 	Antonio Roldán Betancourt Airport 	Apartadó; Colombia
APP 		Asapa Airport 	Asapa; Papua New Guinea
APQ 	SNAL 	Arapiraca Airport 	Arapiraca; Alagoas; Brazil
APR 		April River Airport 	April River; Papua New Guinea
APS 	SWNS 	Anápolis Airport 	Anápolis; Goiás; Brazil
APT 	KAPT 	Marion County Airport (Brown Field) 	Jasper; Tennessee; United States
APU 	SSAP 	Apucarana Airport 	Apucarana; Paraná; Brazil
APV 	KAPV 	Apple Valley Airport 	Apple Valley; California; United States
APW 	NSFA 	Faleolo International Airport 	Apia; Upolu Island; Samoa
APX 	SSOG 	Arapongas Airport 	Arapongas; Paraná; Brazil
APY 	SNAI 	Alto Parnaíba Airport 	Alto Parnaíba; Maranhão; Brazil
APZ 	SAHZ 	Zapala Airport 	Zapala; Neuquén; Argentina
-AQ-
AQA 	SBAQ 	Araraquara Airport 	Araraquara; São Paulo; Brazil
AQB 	MGQC 	Quiché Airport 	Quiché; El Quiché; Guatemala
AQG 	ZSAQ 	Anqing Tianzhushan Airport 	Anqing; Anhui; China
AQI 	OEPA 	Qaisumah Domestic Airport 	Qaisumah; Hafar Al-Batin; Eastern Province; Saudi Arabia
